# Provenance des images des grilles german. Généré par scripts/german/fetch_image.py — ne pas éditer à la main.
# nom_depot	sha256	octets	dimensions	chemin_vault
abdo-message-cle-douleurs-abdominales-aigues.png	8b4a8c267d542030752bc85136b08456ed8924414188419c6ee9ace8e14f498f	252257	2190x1080	Skills ECOS/img/abdo/32-Douleurs-abdominales-aigues/abdo-message-cle-douleurs-abdominales-aigues.png
endocrino-02-hyperthyroidie-manifestations-cliniques.jpg	8036ec8b6ae053f3c9fe877d36a50aed0a64654c4b7f9db32ce91cc6bd02d8b5	378501	1170x1309	Skills ECOS/img/endocrino/banques/thyroide-parathyroide/endocrino-02-hyperthyroidie-manifestations-cliniques.jpeg
epaule-message-cle-epaule-douloureuse.png	8ae281cf784d83c2851dc09d1dff69a90a51268546e06f352c4db87259400c04	378437	2400x1485	Skills ECOS/img/epaule/53-Epaule-douloureuse/epaule-message-cle-epaule-douloureuse.png
epaule-mobilite-abduction.jpg	b1b5b9e8744ac6a67f147b6e8fce3a128a30272c3318d2345112b97f657121fa	358465	1600x2097	Skills ECOS/img/epaule/epaule-mobilite-abduction.png  [dérivé recompressé — source 2571x3370, 4040 Ko ; JPEG qualité 90 à 1600 px]
epaule-test-hawkins-kennedy.jpg	983ec26e6ca60495d753b7a79d1052435be0d0d3508bb0872003bb25e900bfaa	214572	1600x1201	Skills ECOS/img/epaule/epaule-test-hawkins-kennedy.png  [dérivé recompressé — source 2683x2014, 5068 Ko ; JPEG qualité 90 à 1600 px]
epaule-test-yergason.jpg	7e79bd4a3530da37af55330ceab49bff2bb863a80c44a35c2af3413e17fd6334	378082	1600x1351	Skills ECOS/img/epaule/epaule-test-yergason.png  [dérivé recompressé — source 4029x3403, 13008 Ko ; JPEG qualité 90 à 1600 px]
general-echelle-de-somnolence-d-epworth.png	6efc33280fd90c73e3f1a8e2ba8a24217fc566ceabfb6b83969fbb82eb6f3a22	73865	462x549	Skills ECOS/img/general/05-Fatigue/general-echelle-de-somnolence-d-epworth.png
general-fatigue-examens-paracliniques.jpg	52d4fbf870fae7c05c348fc5c6fc59c864a17b8029ddc3bd64fdb263bb7d890b	231140	1400x1184	Skills ECOS/img/general/general-fatigue-examens-paracliniques.png  [dérivé recompressé — source 1504x1272, 779 Ko ; JPEG qualité 90 à 1400 px]
general-mecanisme-du-collapsus-pharynge-apnee-obstructive.svg	29bbac0472cfed60b97aec39e7c04c1df7d4dbbbf03f46846ee9006a55dd41ff	156197	-	Skills ECOS/img/general/general-mecanisme-du-collapsus-pharynge-apnee-obstructive.svg
general-message-cle-fatigue.png	a25da93cffb97918ccc03cc10b7dae99c8e258440283c5db5005dac412a3d51a	197139	1890x963	Skills ECOS/img/general/05-Fatigue/general-message-cle-fatigue.png
general-message-cle-obesite-et-surpoids.png	0f550461bfdc5e01c6bd8fd4546b4df577bab9c4d38d6f6e3a6c1147db11c850	282724	1830x1368	Skills ECOS/img/general/43-Obesite-et-surpoids/general-message-cle-obesite-et-surpoids.png
gyneco-col-en-framboise-trichomonase-pathognomonique.jpg	2c1d3060f2b4c4df3ac2169582f32efc6b65ba39f28b72227e4ff0abbd9994a1	134963	1000x749	Skills ECOS/img/gyneco/gyneco-col-en-framboise-trichomonase-pathognomonique.png  [dérivé recompressé — source 1011x758, 883 Ko ; JPEG qualité 90 à 1000 px]
nephro-message-cle-uretrite-et-cervicite-simples.png	217f6bd6e24fde7d2ec00b8ddf27de97ddc4e56e219acbd9a6d72ee0f4dc0c8d	210634	2070x879	Skills ECOS/img/nephro/22-Uretrite-et-cervicite-simples/nephro-message-cle-uretrite-et-cervicite-simples.png
neuro-message-cle-cephalee-aigue-non-traumatique.png	d5c6a91b2b203fbd578fc6c71d9dd0ffcde9dc176ad83a0ff8239de32da96991	404249	2190x1689	Skills ECOS/img/neuro/45-Cephalee-aigue-non-traumatique/neuro-message-cle-cephalee-aigue-non-traumatique.png
orl-message-cle-pharyngite.png	f32e58c25c044fc64e8109899bed7b4b11aaa1303caf35b81799a983c47e219e	433928	1800x1914	Skills ECOS/img/orl/19-Pharyngite/orl-message-cle-pharyngite.png
pied-cheville-message-cle-entorse-de-cheville.png	c42162d393c17645b186d8f9dc1758ce54d8757cc5d53d45c77f1301ecee6890	228068	2190x996	Skills ECOS/img/pied-cheville/51-Entorse-de-cheville/pied-cheville-message-cle-entorse-de-cheville.png
pulmo-polysomnographie-polygraphie-d-un-saos-obstructif-efforts-re.jpg	7d2ba57cf7e7727abfa3d9c5f38928817d9e0e0cb852c01ea0612a776f3bba5d	67277	629x435	Skills ECOS/img/pulmo/pulmo-polysomnographie-polygraphie-d-un-saos-obstructif-efforts-re.jpg
rachis-message-cle-rachialgie-aigue.png	8b53993f535d51820d4d1b4262e8977045e2964c04459b3e2f10ce9b64db47df	310300	2850x1113	Skills ECOS/img/rachis/52-Rachialgie-aigue/rachis-message-cle-rachialgie-aigue.png
rachis-rx-lombaire-profil.jpg	d96bd98eb0305a1697032004800a7f6d3346cc47989d80e2d81ea4e36e20a75c	297812	1400x1735	Skills ECOS/img/rachis/rachis-rx-lombaire-profil.png  [dérivé recompressé — source 1438x1783, 3118 Ko ; JPEG qualité 90 à 1400 px]
rachis-test-lasegue.jpg	5e2a7e0203bc02960915a77e8b01a79c4aa8e76e1f7a61b719d99befbef0c169	183673	1600x1212	Skills ECOS/img/rachis/rachis-test-lasegue.png  [dérivé recompressé — source 4928x3736, 7774 Ko ; JPEG qualité 90 à 1600 px]
