# Provenance des images des grilles german. Généré par scripts/german/fetch_image.py — ne pas éditer à la main.
# nom_depot	sha256	octets	dimensions	chemin_vault
abdo-algorithme-2-strategie-diagnostique-pour-la-maladie-de-reflux.png	bce86351fdce45652a46d75666bb6d63d0b599bb7ed2ec3a6f2da5d1c279be9b	116037	819x945	Skills ECOS/img/abdo/35-Dyspepsie-et-maladie-de-reflux/abdo-algorithme-2-strategie-diagnostique-pour-la-maladie-de-reflux.png
abdo-algorithme-diverticulite-aigue.png	7083bbdf1d06d29f901a8de1cc248274a011807890802da190464e1585dbcb44	136569	1156x827	Skills ECOS/img/abdo/32-Douleurs-abdominales-aigues/abdo-algorithme-diverticulite-aigue.png
abdo-anatomie-tube-digestif.png	a344a7828fd342ea2e485f84bbb2995b97ae982dac14d8bd0eb9eea4acf634eb	55408	338x465	Skills ECOS/img/abdo/abdo-anatomie-tube-digestif.png
abdo-diagnostic-differentiel-de-la-douleur-abdominale-aigue-selon-localisation-dans-un-des-neuf-quadrants.png	9c2e8b29c3424ab092f14d524f51f4f252f3c445e9d1c27eb166e0f5143c19b5	193564	574x598	Skills ECOS/img/abdo/32-Douleurs-abdominales-aigues/abdo-diagnostic-differentiel-de-la-douleur-abdominale-aigue-selon-localisation-dans-un-des-neuf-quadrants.png
abdo-message-cle-douleurs-abdominales-aigues.png	8b4a8c267d542030752bc85136b08456ed8924414188419c6ee9ace8e14f498f	252257	2190x1080	Skills ECOS/img/abdo/32-Douleurs-abdominales-aigues/abdo-message-cle-douleurs-abdominales-aigues.png
abdo-message-cle-dyspepsie-et-maladie-de-reflux.png	a8652e4af5b0046b82ff98d00319284303d1ccf7d292a2e70b97c9a539276e68	379988	2610x1314	Skills ECOS/img/abdo/35-Dyspepsie-et-maladie-de-reflux/abdo-message-cle-dyspepsie-et-maladie-de-reflux.png
abdo-occlusion-intestinale-niveaux-hydro-aeriques-asp-debout.jpg	0eee53c6dc2c9021f1dfa8ffaaf6974951957f71576b6057f046a9327a1a6aaf	130846	960x1195	Skills ECOS/img/abdo/abdo-occlusion-intestinale-niveaux-hydro-aeriques-asp-debout.jpg
abdo-oesophagite-peptique-classification-de-los-angeles.png	1eaebe66aaa07cc627550a1ee0b5a60426f9a6a8ed169f76d606e7cda08c4fae	66427	557x167	Skills ECOS/img/abdo/35-Dyspepsie-et-maladie-de-reflux/abdo-oesophagite-peptique-classification-de-los-angeles.png
abdo-score-d-alvarado.png	855abb4d4a09eb17c53a04169d3ef4ef93afbc49eacb10771ec6a4b4d1be76f3	32173	436x296	Skills ECOS/img/abdo/32-Douleurs-abdominales-aigues/abdo-score-d-alvarado.png
abdo-signe-de-l-obturateur.png	336c5f6bdf0140f3222413b3bbddcd26a3c30a200206cf0d09c804da40912c3f	59431	565x314	Skills ECOS/img/abdo/abdo-signe-de-l-obturateur.png
abdo-signes-de-cullen-grey-turner-pancreatite-hemorragique.jpg	28ec53ff943335fa91c7d622951c146a5df6dcef07778453f80dc1db5011165e	27337	602x316	Skills ECOS/img/abdo/abdo-signes-de-cullen-grey-turner-pancreatite-hemorragique.jpg
abdo-tests-diagnostiques-de-l-infection-a-helicobacter-pylori.png	5dbe16b9e633e9aedc317b1612c31f4fc7933dc7fb67129530dae5009bacf4e7	43296	519x158	Skills ECOS/img/abdo/35-Dyspepsie-et-maladie-de-reflux/abdo-tests-diagnostiques-de-l-infection-a-helicobacter-pylori.png
cardio-algorithme-douleur-thoracique.png	c1539dbeb5b966f20137370bd3bcc545029d6a316579728d62c4865010523661	183819	779x1195	Skills ECOS/img/cardio/24-Douleur-thoracique/cardio-algorithme-douleur-thoracique.png
cardio-algorithme-tvp.png	5fbb3a1fcb0fc2594e02b5ba23a0d218e234f79f0359f6c66c4707c3c97fe61a	139487	757x1222	Skills ECOS/img/cardio/27-Maladie-thromboembolique-veineuse/cardio-algorithme-tvp.png
